indice_df,revista,pid,doi,pdf
1087,Revista Brasileira de Educação,S1413-24782023000100700,10.1590/S1413-24782023280043,c:\Users\Maria Beatriz\Desktop\PLN projeto\PLN_BACKEND\PLN_SCIELO\raw_pdfs\3587392ca1696d6e.pdf
2847,Revista Brasileira de Estudos de População,S0102-30982020000100161,10.20947/S0102-3098A0125,c:\Users\Maria Beatriz\Desktop\PLN projeto\PLN_BACKEND\PLN_SCIELO\raw_pdfs\35bd55239b1fecfd.pdf
2527,Revista Brasileira de Oftalmologia,S0034-72802020000500344,10.5935/0034-7280.20200074,c:\Users\Maria Beatriz\Desktop\PLN projeto\PLN_BACKEND\PLN_SCIELO\raw_pdfs\ed29f6097de4db1e.pdf
2011,Revista Brasileira de Política Internacional,S0034-73292011000100005,nan,c:\Users\Maria Beatriz\Desktop\PLN projeto\PLN_BACKEND\PLN_SCIELO\raw_pdfs\6aa46122b0b7c554.pdf
956,Revista Brasileira de Educação,S1413-24782021000101101,10.1590/S1413-24782021260044ERRATUM,c:\Users\Maria Beatriz\Desktop\PLN projeto\PLN_BACKEND\PLN_SCIELO\raw_pdfs\3faab91aee1dbf8c.pdf
2961,Revista Brasileira de Estudos de População,S0102-30982023000100158,10.20947/S0102-3098A0240,c:\Users\Maria Beatriz\Desktop\PLN projeto\PLN_BACKEND\PLN_SCIELO\raw_pdfs\0288330c4bc06624.pdf
2609,Revista Brasileira de Oftalmologia,S0034-72802021000300100,10.37039/1982.8551.20210004,c:\Users\Maria Beatriz\Desktop\PLN projeto\PLN_BACKEND\PLN_SCIELO\raw_pdfs\b0a35af0d8ca0a0c.pdf
2009,Revista Brasileira de Política Internacional,S0034-73292011000100001,nan,c:\Users\Maria Beatriz\Desktop\PLN projeto\PLN_BACKEND\PLN_SCIELO\raw_pdfs\e8de6efad26ac133.pdf
1061,Revista Brasileira de Educação,S1413-24782022000100280,10.1590/S1413-24782022270120,c:\Users\Maria Beatriz\Desktop\PLN projeto\PLN_BACKEND\PLN_SCIELO\raw_pdfs\1a6b7dcc276599aa.pdf
145,urbe. Revista Brasileira de Gestão Urbana,S2175-33692021000100254,10.1590/2175-3369.013.E20200061,c:\Users\Maria Beatriz\Desktop\PLN projeto\PLN_BACKEND\PLN_SCIELO\raw_pdfs\e62ff7cb3f3dd37c.pdf
128,urbe. Revista Brasileira de Gestão Urbana,S2175-33692021000100242,10.1590/2175-3369.013.E20200155,c:\Users\Maria Beatriz\Desktop\PLN projeto\PLN_BACKEND\PLN_SCIELO\raw_pdfs\a35c3addca6d11e5.pdf
977,Revista Brasileira de Educação,S1413-24782021000100265,10.1590/S1413-24782021260092,c:\Users\Maria Beatriz\Desktop\PLN projeto\PLN_BACKEND\PLN_SCIELO\raw_pdfs\7740d78cecd2e336.pdf
2471,Revista Brasileira de Inovação,S2178-28222022000100220,10.20396/RBI.V21I00.8666253,c:\Users\Maria Beatriz\Desktop\PLN projeto\PLN_BACKEND\PLN_SCIELO\raw_pdfs\4783219b757c2e9f.pdf
1402,Revista Brasileira de Parasitologia Veterinária,S1984-29612021000200901,10.1590/S1984-29612021037,c:\Users\Maria Beatriz\Desktop\PLN projeto\PLN_BACKEND\PLN_SCIELO\raw_pdfs\a4f1707bc122b74e.pdf
2800,Revista Brasileira de Oftalmologia,S0034-72802023000100303,10.37039/1982.8551.20230049,c:\Users\Maria Beatriz\Desktop\PLN projeto\PLN_BACKEND\PLN_SCIELO\raw_pdfs\da51d94b2807b911.pdf
91,urbe. Revista Brasileira de Gestão Urbana,S2175-33692020000100242,10.1590/2175-3369.012.E20190178,c:\Users\Maria Beatriz\Desktop\PLN projeto\PLN_BACKEND\PLN_SCIELO\raw_pdfs\1fa996cb15769893.pdf
80,urbe. Revista Brasileira de Gestão Urbana,S2175-33692020000100230,10.1590/2175-3369.012.E20200062,c:\Users\Maria Beatriz\Desktop\PLN projeto\PLN_BACKEND\PLN_SCIELO\raw_pdfs\fdccdb9899a1d90c.pdf
2509,Revista Brasileira de Oftalmologia,S0034-72802020000100063,10.5935/0034-7280.20200013,c:\Users\Maria Beatriz\Desktop\PLN projeto\PLN_BACKEND\PLN_SCIELO\raw_pdfs\45a8c5df4a50dd49.pdf
835,Revista Brasileira de Educação,S1413-24782020000100200,10.1590/S1413-24782019250006,c:\Users\Maria Beatriz\Desktop\PLN projeto\PLN_BACKEND\PLN_SCIELO\raw_pdfs\9a728f54364c9c2d.pdf
1851,Revista Brasileira de Cineantropometria & Desempen,S1980-00372020000100603,10.1590/1980-0037.2020V22E72646,c:\Users\Maria Beatriz\Desktop\PLN projeto\PLN_BACKEND\PLN_SCIELO\raw_pdfs\cb68265ea3c48b94.pdf
171,urbe. Revista Brasileira de Gestão Urbana,S2175-33692022000100206,10.1590/2175-3369.014.E20210187,c:\Users\Maria Beatriz\Desktop\PLN projeto\PLN_BACKEND\PLN_SCIELO\raw_pdfs\6ab2cadf6ee67584.pdf
2326,Revista Brasileira de Saúde Ocupacional,S0303-76572020000100100,10.1590/2317-6369ED0000120,c:\Users\Maria Beatriz\Desktop\PLN projeto\PLN_BACKEND\PLN_SCIELO\raw_pdfs\9d6dafcb65b98658.pdf
2856,Revista Brasileira de Estudos de População,S0102-30982021000100150,10.20947/S0102-3098A0135,c:\Users\Maria Beatriz\Desktop\PLN projeto\PLN_BACKEND\PLN_SCIELO\raw_pdfs\43884171e37f4133.pdf
2881,Revista Brasileira de Estudos de População,S0102-30982021000100165,10.20947/S0102-3098A0154,c:\Users\Maria Beatriz\Desktop\PLN projeto\PLN_BACKEND\PLN_SCIELO\raw_pdfs\102a62dfa5ddb02b.pdf
2774,Revista Brasileira de Oftalmologia,S0034-72802023000100510,10.37039/1982.8551.20230023,c:\Users\Maria Beatriz\Desktop\PLN projeto\PLN_BACKEND\PLN_SCIELO\raw_pdfs\d91108db9fe3f96c.pdf
928,Revista Brasileira de Educação,S1413-24782021000100702,10.1590/S1413-24782021260033,c:\Users\Maria Beatriz\Desktop\PLN projeto\PLN_BACKEND\PLN_SCIELO\raw_pdfs\3b665192da7f48bb.pdf
1100,Revista Brasileira de Educação,S1413-24782023000100227,10.1590/S1413-24782023280032,c:\Users\Maria Beatriz\Desktop\PLN projeto\PLN_BACKEND\PLN_SCIELO\raw_pdfs\63c5cd439a607801.pdf
857,Revista Brasileira de Educação,S1413-24782020000100800,10.1590/S1413-24782020250029,c:\Users\Maria Beatriz\Desktop\PLN projeto\PLN_BACKEND\PLN_SCIELO\raw_pdfs\e629b0f5e8597429.pdf
1039,Revista Brasileira de Educação,S1413-24782022000100264,10.1590/S1413-24782022270102,c:\Users\Maria Beatriz\Desktop\PLN projeto\PLN_BACKEND\PLN_SCIELO\raw_pdfs\a7c8b7917f0359f0.pdf
115,urbe. Revista Brasileira de Gestão Urbana,S2175-33692021000100220,10.1590/2175-3369.013.E20200059,c:\Users\Maria Beatriz\Desktop\PLN projeto\PLN_BACKEND\PLN_SCIELO\raw_pdfs\6e2084e30eba3f60.pdf
